anchor,hyponym
auto part,rhubarb
auto part,combination lock
auto part,record player
auto part,flamethrower
auto part,measuring cup
auto part,tube top
auto part,cauliflower
auto part,garbage truck
auto part,kimono
auto part,kale
auto part,sofa bed
auto part,kiwi
auto part,bottle opener
auto part,remote control
auto part,lavender
auto part,muff
auto part,jalapeno
auto part,flan
auto part,dandelion
auto part,swimming pool
auto part,broccoli
auto part,recorder
auto part,wine bottle
auto part,coffee table
auto part,golf cart
auto part,papaya
auto part,ham
auto part,coffee bean
auto part,school bus
auto part,rattle
mammal,tadpole
mammal,chandelier
mammal,marijuana
mammal,fishbowl
mammal,tugboat
mammal,rattlesnake
mammal,walnut
mammal,coffee bean
mammal,moth
mammal,dragonfly
mammal,machine gun
mammal,turtleneck
mammal,wrap
mammal,handle
mammal,stapler
mammal,turban
mammal,record player
mammal,cream cheese
mammal,kaleidoscope
mammal,tea
mammal,mascara
mammal,lollipop
mammal,router
mammal,submarine
mammal,caterpillar
mammal,hammock
mammal,goblet
mammal,moccasin
mammal,match
mammal,mallet
mammal,paper
mammal,bow
mammal,fruit
mammal,candelabra
mammal,police car
mammal,moss
mammal,mussel
mammal,birdcage
mammal,thermometer
mammal,button
mammal,makeup
mammal,scalpel
mammal,cookie
mammal,combination lock
mammal,string cheese
mammal,jalapeno
mammal,tomato
mammal,daisy
mammal,wallet
mammal,trolley
mammal,shopping cart
mammal,bonnet
mammal,lighter
mammal,roll
mammal,coverall
mammal,notebook
mammal,file
mammal,grater
mammal,uniform
mammal,filing cabinet
mammal,tarantula
mammal,stethoscope
mammal,blowfish
mammal,pretzel
mammal,checkers
mammal,hearing aid
mammal,drawer
mammal,ready meal
mammal,locker
mammal,scorpion
mammal,sandwich
mammal,slot machine
mammal,measuring cup
mammal,marshmallow
mammal,swimming pool
mammal,maggot
mammal,mosquito
mammal,face mask
mammal,school bus
mammal,seahorse
mammal,recorder
mammal,throne
mammal,cornucopia
mammal,jewelry
mammal,coffee
mammal,hammer
mammal,shelf
mammal,sarcophagus
protective clothing,jalapeno
protective clothing,ice pack
protective clothing,kiwi
protective clothing,measuring cup
protective clothing,papaya
protective clothing,swimming pool
protective clothing,flan
protective clothing,school bus
protective clothing,guacamole
protective clothing,water bottle
protective clothing,muff
protective clothing,combination lock
protective clothing,eye patch
protective clothing,ham
protective clothing,rubber band
protective clothing,broccoli
fruit,file
fruit,lavender
fruit,tiramisu
fruit,suit
fruit,bag
fruit,album
fruit,match
fruit,tool
fruit,button
fruit,okra
fruit,tongs
fruit,frame
fruit,drawer
fruit,chihuahua
fruit,garlic
fruit,hearing aid
fruit,makeup
fruit,caviar
fruit,folder
fruit,box
fruit,hot chocolate
fruit,ball
fruit,robe
fruit,sauerkraut
fruit,engine
fruit,bulldozer
fruit,wind chimes
fruit,broccoli
fruit,sheep
fruit,kimono
fruit,flower
fruit,bottle
fruit,shelf
fruit,car
container,keyboard
container,kale
container,projector
container,zucchini
container,souffle
container,papaya
container,button
container,pepperoni
container,kiwi
container,folder
container,brass knuckles
container,chickpea
container,garlic
container,nacho
container,album
container,pipe
container,jalapeno
container,champagne
