premise,premise-sense,conclusion,similarity
food,food.n.01,hook,0.5952473282814026
office supply,office_supply.n.00,rearview mirror,0.5686514973640442
container,container.n.01,jacket,0.4382769465446472
animal,animal.n.01,okra,0.6657882928848267
fruit,edible_fruit.n.01,mirror,0.40562698245048523
food,food.n.01,underwear,0.5996670722961426
food,food.n.01,belt buckle,0.47496888041496277
game,game.n.01,bassoon,0.4101358652114868
food,food.n.01,stiletto,0.4771330654621124
food,food.n.01,kaleidoscope,0.6335706114768982
tool,tool.n.01,tortellini,0.43481874465942383
fastener,fastener.n.01,highlighter,0.8008902072906494
tool,tool.n.01,glasses,0.6033832430839539
food,food.n.01,hotplate,0.602432906627655
dessert,dessert.n.01,rooster,0.48504623770713806
tool,tool.n.01,honey,0.40979889035224915
kitchen tool,kitchen_utensil.n.01,zebra,0.4059218764305115
tool,tool.n.01,pitcher,0.597608745098114
tool,tool.n.01,pinwheel,0.6086626648902893
home decor,interior_decoration.n.01,duckling,0.35183531045913696
toy,plaything.n.01,maple syrup,0.4158073365688324
medical equipment,medical_instrument.n.01,latch,0.6842392086982727
mammal,mammal.n.01,barnacle,0.6580153107643127
school supply,school_supply.n.00,latch,0.9121878743171692
vehicle,vehicle.n.01,taffy,0.4373438358306885
mammal,mammal.n.01,rearview mirror,0.42574256658554077
auto part,auto_part.n.01,elephant,0.4100193381309509
mammal,mammal.n.01,stretcher,0.6824952960014343
vegetable,vegetable.n.01,clam,0.8022000789642334
mammal,mammal.n.01,leech,0.688132643699646
kitchen tool,kitchen_utensil.n.01,noodle,0.7173945903778076
clothing,clothing.n.01,rearview mirror,0.5013281106948853
container,container.n.01,chair,0.47609245777130127
vegetable,vegetable.n.01,latch,0.7616528868675232
drink,beverage.n.01,zebra,0.43353867530822754
animal,animal.n.01,car,0.6423275470733643
clothing,clothing.n.01,stretcher,0.7922652959823608
dessert,dessert.n.01,scallop,0.7692233324050903
office supply,office_supply.n.00,backscratcher,0.9129491448402405
tool,tool.n.01,bumper,0.6265767812728882
container,container.n.01,eel,0.6539669036865234
electronic device,electronic_device.n.01,robot,0.6249873638153076
food,food.n.01,centerpiece,0.6360704302787781
condiment,condiment.n.01,celery,0.7584286332130432
office supply,office_supply.n.00,honey,0.5362940430641174
mammal,mammal.n.01,margarita,0.43602514266967773
seafood,seafood.n.01,cape,0.3761081397533417
container,container.n.01,sheep,0.4623950123786926
vegetable,vegetable.n.01,lasagna,0.803297758102417
drink,beverage.n.01,noodle,0.7479416728019714
home decor,interior_decoration.n.01,rabbit,0.5946880578994751
food,food.n.01,petri dish,0.5107761025428772
clothing,clothing.n.01,margarita,0.47165101766586304
home decor,interior_decoration.n.01,green beans,0.3921594023704529
container,container.n.01,fly,0.45388394594192505
food,food.n.01,incubator,0.6093056797981262
food,food.n.01,kangaroo,0.506179928779602
fruit,edible_fruit.n.01,mandolin,0.42328667640686035
animal,animal.n.01,peanut butter,0.4584210216999054
food,food.n.01,keg,0.47006601095199585
condiment,condiment.n.01,puppy,0.4057934880256653
home decor,interior_decoration.n.01,chain,0.6205964088439941
clothing,clothing.n.01,nut,0.47307032346725464
plant,plant.n.02,maple syrup,0.43890485167503357
animal,animal.n.01,peanut,0.6170104146003723
tool,tool.n.01,salami,0.445527046918869
candy,candy.n.01,zucchini,0.7246044874191284
food,food.n.01,seaplane,0.5042775869369507
food,food.n.01,jumpsuit,0.4925578236579895
food,food.n.01,clipboard,0.508409321308136
dessert,dessert.n.01,dynamite,0.479317843914032
animal,animal.n.01,test tube,0.4781150817871094
livestock,livestock.n.01,bassoon,0.41372841596603394
clothing,clothing.n.01,poppy,0.5045489072799683
clothing,clothing.n.01,backscratcher,0.7738316059112549
accessory,accessory.n.01,maple syrup,0.43392664194107056
weapon,weapon.n.01,highlighter,0.7068957090377808
food,food.n.01,kite,0.6279191374778748
mammal,mammal.n.01,string cheese,0.42923682928085327
clothing,clothing.n.01,string cheese,0.5106729865074158
mammal,mammal.n.01,grasshopper,0.656079888343811
animal,animal.n.01,lip gloss,0.476984441280365
tool,tool.n.01,triangle,0.6517946124076843
weapon,weapon.n.01,chain,0.7207804918289185
dessert,dessert.n.01,machine gun,0.4773678183555603
toiletry,toiletry.n.01,keg,0.43025970458984375
clothing,clothing.n.01,pinwheel,0.7070890069007874
plant,plant.n.02,crayfish,0.692397952079773
home decor,interior_decoration.n.01,honey,0.3617749810218811
electronic device,electronic_device.n.01,videogame,0.6210483908653259
medical equipment,medical_instrument.n.01,projector,0.7517831325531006
electronic device,electronic_device.n.01,swab,0.6584079265594482
sea animal,marine_animal.n.01,slug,0.7398213744163513
food,food.n.01,broom,0.620745837688446
animal,animal.n.01,dynamite,0.44837892055511475
toiletry,toiletry.n.01,elephant,0.37696373462677
food,food.n.01,doghouse,0.6019753217697144
candy,candy.n.01,elephant,0.3966033458709717
animal,animal.n.01,peeler,0.6295608282089233
tool,tool.n.01,envelope,0.6686360836029053
fruit,edible_fruit.n.01,asparagus,0.7668766379356384
headwear,headdress.n.01,puppy,0.39091435074806213
vehicle,vehicle.n.01,cordon bleu,0.4407837390899658
fruit,edible_fruit.n.01,corn,0.714036762714386
clothing,clothing.n.01,spaghetti,0.718951940536499
animal,animal.n.01,tube top,0.705534815788269
animal,animal.n.01,jeep,0.6182651519775391
insect,insect.n.01,margarita,0.37876492738723755
animal,animal.n.01,prune,0.4360283315181732
water vehicle,vessel.n.02,honey,0.4117087125778198
livestock,livestock.n.01,stretcher,0.669873833656311
mammal,mammal.n.01,ant,0.671513557434082
protective clothing,protective_covering.n.01,rooster,0.4047943353652954
garden tool,garden_tool.n.01,puppy,0.43577682971954346
animal,animal.n.01,hearing aid,0.6373974084854126
food,food.n.01,wallpaper,0.5075578689575195
electronic device,electronic_device.n.01,tongs,0.7691400051116943
tool,tool.n.01,pepperoni,0.44767478108406067
clothing,clothing.n.01,purse,0.7066829204559326
outerwear,outerwear.n.01,bull,0.3928408622741699
tool,tool.n.01,stapler,0.6165453791618347
tool,tool.n.01,penguin,0.44293010234832764
container,container.n.01,stool,0.4501096308231354
vehicle,vehicle.n.01,mandolin,0.4415106475353241
vegetable,vegetable.n.01,flask,0.4755885899066925
tool,tool.n.01,calf,0.4242815673351288
livestock,livestock.n.01,margarita,0.4184392988681793
mammal,mammal.n.01,slug,0.7329308986663818
seafood,seafood.n.01,spaghetti,0.6289863586425781
tool,tool.n.01,waffle,0.4518725872039795
mammal,mammal.n.01,bikini,0.43389514088630676
drink,beverage.n.01,scallop,0.7601950168609619
protective clothing,protective_covering.n.01,puppy,0.4034314751625061
livestock,livestock.n.01,nut,0.4267394542694092
fruit,edible_fruit.n.01,t-shirt,0.4205387234687805
electronic device,electronic_device.n.01,grinder,0.6082087159156799
furniture,furniture.n.01,mixer,0.6813491582870483
container,container.n.01,crow,0.4659258723258972
clothing,clothing.n.01,bolt,0.764265775680542
