premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
food,paintbrush,no,0.3941514194011688,high,food,paintbrushes
tool,ashtray,no,0.1801113784313202,low,tools,ashtrays
tool,asparagus,no,0.19312304258346558,low,tools,asparagus
animal,grille,no,0.19295218586921692,low,animals,grill
electronic device,slicer,yes,0.2402101457118988,low,electronic devices,slicers
food,wheat,yes,0.37042704224586487,high,food,wheat
kitchen tool,peeler,yes,0.3367345929145813,high,kitchen tools,peelers
fastener,cream cheese,no,0.33458754420280457,low,fasteners,cream cheese
protective clothing,measuring cup,no,0.6079059839248657,high,protective clothing,measuring cups
livestock,horse,yes,0.41362202167510986,low,livestocks,horses
electronic device,playing card,no,0.4783925414085388,high,electronic devices,playing cards
auto part,coffee bean,no,0.49349626898765564,high,auto parts,coffee beans
container,bank,yes,0.5615145564079285,high,containers,banks
clothing,skirt,yes,0.4170897603034973,low,wearables,skirts
clothing,backpack,no,0.5780697464942932,high,wearables,backpacks
toiletry,sauerkraut,no,0.17778974771499634,low,toiletries,sauerkrauts
kitchen equipment,muff,no,0.06865868717432022,low,kitchen equipment,muff
auto part,rim,yes,0.04569927603006363,low,auto parts,rims
food,bassinet,no,0.39643394947052,high,food,bassinets
toiletry,floss,yes,0.23452097177505493,low,toiletries,floss
home decor,ham,no,0.17177391052246094,low,home decors,hams
mammal,bonnet,no,0.5504957437515259,high,mammals,bonnets
mammal,leopard,yes,0.5429139137268066,high,mammals,leopards
breakfast,syrup,yes,0.40717530250549316,low,breakfasts,syrups
headwear,measuring cup,no,0.15136750042438507,low,headwears,measuring cups
breakfast,bagel,yes,0.49333223700523376,high,breakfasts,bagels
school supply,pen,yes,0.1819843202829361,low,school supplies,pens
fruit,file,no,0.5782777070999146,high,fruits,files
food,nail,no,0.4072340726852417,high,food,nails
musical instrument,router,no,0.12269754707813263,low,musical instruments,router
weapon,hammer,yes,0.24508829414844513,low,weapons,hammers
women's clothing,jewelry,no,0.5153167247772217,high,women's clothes,jewelry
plant,vegetable,no,0.625996470451355,high,plants,vegetables
tool,knife,yes,0.2844659090042114,low,tools,knives
vehicle,projector,no,0.6077851057052612,high,vehicles,projectors
sea animal,turtle,yes,0.20190560817718506,low,sea animals,turtles
tool,peeler,yes,0.29671135544776917,low,tools,peelers
condiment,almond,no,0.5367871522903442,high,condiments,almonds
food,potato,yes,0.35665345191955566,high,food,potatoes
musical instrument,guitar,yes,0.23257935047149658,low,musical instruments,guitars
women's clothing,string cheese,no,0.02741367742419243,low,women's clothes,string cheeses
dessert,cheesecake,yes,0.5913121104240417,high,desserts,cheesecakes
headwear,bandana,yes,0.5476688146591187,high,headwears,bandanas
home decor,frame,yes,0.23065148293972015,low,home decors,frames
container,sandbag,yes,0.2553602457046509,low,containers,sandbags
outerwear,snowsuit,yes,0.3964408338069916,high,outerwear,snowsuits
women's clothing,pantsuit,yes,0.3818652331829071,high,women's clothes,pantsuits
kitchen tool,wine bottle,no,0.603119969367981,high,kitchen tools,wine bottles
