premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
food,dishwasher,no,0.5958238840103149,high,food,dishwashers
food,boot,no,0.5053740739822388,low,food,boots
weapon,machete,yes,0.6762251853942871,high,weapons,machetes
clothing,pants,yes,0.7085822820663452,high,clothing,pants
game,domino,yes,0.5680857300758362,low,games,dominoes
clothing,clothespin,no,0.7458621263504028,high,clothing,clothespins
electronic device,lamp,yes,0.5716837644577026,low,electronic devices,lamps
garden tool,pickax,yes,0.6324993371963501,low,garden tools,pickaxes
container,tent,yes,0.6188411712646484,low,containers,tents
seafood,meat,no,0.629625678062439,high,seafood,meat
dessert,highlighter,no,0.7428542971611023,high,desserts,highlighters
mammal,whale,yes,0.8369491100311279,high,mammals,whales
container,honey,no,0.41804182529449463,low,containers,honey
container,measuring cup,yes,0.6139219999313354,low,containers,measuring cups
animal,chicken,yes,0.6518269181251526,high,animals,chicken
mammal,puppy,yes,0.4435840845108032,low,mammals,puppies
food,croissant,yes,0.5262690782546997,low,food,croissants
seafood,turkey,no,0.6647826433181763,high,seafood,turkeys
container,pocket,yes,0.589607834815979,low,containers,pockets
vehicle,firetruck,yes,0.6293191909790039,high,vehicles,firetrucks
clothing,washcloth,no,0.7290652990341187,high,clothing,washcloths
women's clothing,dustpan,no,0.866992712020874,high,women's clothes,dustpans
home decor,statue,yes,0.4788782298564911,low,home decor,statues
seafood,elephant,no,0.36178576946258545,low,seafood,elephants
office supply,whisk,no,0.9098642468452454,high,office supplies,whisks
electronic device,alpaca,no,0.42532679438591003,low,electronic devices,alpacas
tool,dustpan,yes,0.6894267797470093,high,tools,dustpans
auto part,car,no,0.7766497135162354,high,auto parts,cars
accessory,muff,yes,0.6874731779098511,high,accessories,muffs
fruit,fruit,yes,0.9999996423721313,high,fruits,fruits
toy,rearview mirror,no,0.4502243101596832,low,toys,rearview mirrors
animal,badger,yes,0.6300051212310791,high,animals,badgers
food,dog,no,0.5966039896011353,high,food,dogs
electronic device,amplifier,yes,0.5827360153198242,high,electronic devices,amplifiers
garden tool,pitchfork,yes,0.5993756651878357,low,garden tools,pitchforks
fastener,duckling,no,0.5020027756690979,low,fasteners,ducklings
water vehicle,stretcher,no,0.6714022159576416,high,water vehicles,stretchers
candy,cotton candy,yes,0.8324525356292725,high,candy,cotton candy
container,ashtray,yes,0.6267762780189514,low,containers,ashtrays
animal,tarantula,yes,0.6009304523468018,low,animals,tarantulas
fastener,clasp,yes,0.7081469297409058,high,fasteners,clasps
tool,tongs,yes,0.6588195562362671,high,tools,tongs
food,earring,no,0.5107483863830566,low,food,earrings
game,latch,no,0.6791636347770691,high,games,latches
animal,cape,no,0.48276007175445557,low,animals,capes
vehicle,guacamole,no,0.4424070715904236,low,vehicles,guacamole
food,file,no,0.5460869073867798,low,food,files
food,walnut,yes,0.5649628639221191,low,food,walnuts
tool,bolt,yes,0.6883021593093872,high,tools,bolts
garden tool,shears,yes,0.7309609651565552,high,garden tools,shears
toiletry,bolt,no,0.6718334555625916,high,toiletries,bolts
animal,spatula,no,0.6510628461837769,high,animals,spatulas
water vehicle,yacht,yes,0.701520562171936,high,water vehicles,yachts
animal,sheep,yes,0.6197517514228821,low,animals,sheeps
clothing,clarinet,no,0.520315408706665,low,clothing,clarinets
mammal,cow,yes,0.6492936611175537,low,mammals,cows
vehicle,envelope,no,0.7011644244194031,high,vehicles,envelopes
toiletry,honey,no,0.4298918545246124,low,toiletries,honey
accessory,coil,no,0.7477627992630005,high,accessories,coils
clothing,poppy,no,0.5045489072799683,low,clothing,poppies
food,melon,yes,0.5472860336303711,low,food,melons
food,ivy,no,0.49567335844039917,low,food,ivy
animal,poodle,yes,0.6404829025268555,high,animals,poodles
musical instrument,gong,yes,0.6847621202468872,high,musical instruments,gongs
headwear,beanie,yes,0.645322322845459,low,headwear,beanies
weapon,elephant,no,0.4046953320503235,low,weapons,elephants
mammal,flask,no,0.45266133546829224,low,mammals,flasks
food,ostrich,no,0.6377992033958435,high,food,ostriches
animal,mole,yes,0.7307888269424438,high,animals,moles
tool,shovel,yes,0.6353814601898193,high,tools,shovels
tool,pitchfork,yes,0.5866223573684692,low,tools,pitchforks
vegetable,onion,yes,0.9045970439910889,high,vegetables,onions
clothing,cardigan,yes,0.642128050327301,low,clothing,cardigans
breakfast,cheesecake,no,0.9373196363449097,high,breakfasts,cheesecake
food,macadamia,yes,0.5309803485870361,low,food,macadamia nuts
water vehicle,envelope,no,0.6725894212722778,high,water vehicles,envelopes
water vehicle,ship,yes,0.8051697015762329,high,water vehicles,ships
tool,cleaver,yes,0.6215425729751587,high,tools,cleavers
furniture,stool,yes,0.5151339769363403,low,furniture,stools
clothing,turkey,no,0.728712260723114,high,clothing,turkeys
tool,pea,no,0.6097305417060852,high,tools,peas
kitchen tool,duckling,no,0.44006386399269104,low,kitchen tools,ducklings
game,yo-yo,yes,0.5850355625152588,low,games,yo-yos
mammal,rack,no,0.4207157492637634,low,mammals,racks
food,mirror,no,0.4552920162677765,low,food,mirrors
breakfast,chickpea,no,0.9161049723625183,high,breakfasts,chickpeas
toy,ball,yes,0.6559334993362427,high,toys,balls
animal,squirrel,yes,0.7285622358322144,high,animals,squirrels
plant,tulip,yes,0.6416990756988525,low,plants,tulips
water vehicle,taffy,no,0.4136446714401245,low,water vehicles,taffy
electronic device,radio,yes,0.6065183281898499,high,electronic devices,radios
animal,calf,yes,0.5452010035514832,low,animals,calves
home decor,jelly bean,no,0.38119858503341675,low,home decor,jelly beans
fastener,tube top,no,0.8053390979766846,high,fasteners,tube tops
toiletry,puppy,no,0.40631458163261414,low,toiletries,puppies
vehicle,peeler,no,0.698765754699707,high,vehicles,peelers
electronic device,toaster,yes,0.6006906628608704,high,electronic devices,toasters
dessert,parfait,yes,0.6594438552856445,low,desserts,parfaits
animal,duckling,yes,0.4919170141220093,low,animals,ducklings
electronic device,stool,no,0.4110223054885864,low,electronic devices,stools
toiletry,dustpan,no,0.699203372001648,high,toiletries,dustpans
food,bonnet,no,0.45432722568511963,low,food,bonnets
animal,tomato,no,0.6376734972000122,high,animals,tomatoes
bird,crayfish,no,0.6909770369529724,high,birds,crayfish
food,wedding cake,yes,0.5698612332344055,low,food,wedding cakes
