premise,conclusion,similarity
tool,car,0.5601804256439209
tool,wallet,0.6299377679824829
tool,bird,0.49363669753074646
tool,strap,0.5048143267631531
tool,matchbox,0.514406681060791
tool,mixer,0.5485389232635498
tool,generator,0.5629856586456299
tool,computer,0.5668495297431946
tool,octopus,0.17782998085021973
tool,notebook,0.6170697212219238
tool,shelf,0.6262784600257874
tool,drawer,0.5662641525268555
tool,cat,0.5157623291015625
tool,board game,0.514103889465332
tool,champagne,0.19339844584465027
tool,stir fry,0.10069809854030609
tool,ball,0.5632803440093994
tool,kimono,0.16000896692276
tool,jam,0.14266148209571838
tool,cornmeal,0.15388436615467072
tool,headrest,0.4984399080276489
tool,ship,0.5176342129707336
tool,guacamole,0.19380442798137665
tool,brass knuckles,0.19277723133563995
tool,broccoli,0.1321314424276352
tool,mandolin,0.1926371157169342
tool,robe,0.17283916473388672
tool,leopard,0.17885205149650574
tool,toolbox,0.7763454914093018
tool,bra,0.16727939248085022
tool,harp,0.18233276903629303
tool,book,0.5684571266174316
tool,pepperoni,0.1868598908185959
tool,cup,0.5170497894287109
tool,tablet,0.5373314619064331
tool,saffron,0.18293330073356628
tool,sock,0.5707954168319702
tool,suit,0.5627132654190063
tool,bok choy,0.17917855083942413
tool,garlic,0.17698337137699127
tool,bag,0.58040851354599
tool,projector,0.6015880107879639
tool,toy,0.5262925028800964
tool,bank,0.5869748592376709
tool,checkers,0.5371148586273193
tool,flower,0.5371544361114502
tool,tiramisu,0.13561302423477173
tool,fruit,0.5491973161697388
tool,patch,0.6351995468139648
tool,cart,0.514305591583252
tool,headband,0.49860140681266785
tool,drink,0.5794390439987183
tool,nacho,0.16941270232200623
tool,dashboard,0.6036921739578247
tool,asparagus,0.19312304258346558
tool,chair,0.5447126030921936
tool,kale,0.13788767158985138
tool,muff,0.1373157799243927
tool,printer,0.5324815511703491
tool,lavender,0.12038196623325348
tool,table,0.5643913745880127
tool,sheep,0.1912708431482315
tool,ivy,0.1620534360408783
tool,binder,0.557010293006897
tool,jalapeno,0.15065713226795197
tool,sauerkraut,0.15366493165493011
tool,papaya,0.1372460275888443
tool,bamboo,0.16896653175354004
tool,cheeseburger,0.17801505327224731
tool,flamethrower,0.17690913379192352
tool,souffle,0.16055476665496826
tool,turban,0.18699771165847778
tool,honey,0.17864224314689636
tool,coverall,0.5299001932144165
tool,cauliflower,0.18035736680030823
tool,lasagna,0.19242028892040253
tool,cardinal,0.5491594672203064
tool,mailbox,0.616799533367157
tool,workbench,0.5677760243415833
tool,trunk,0.5018046498298645
tool,kiwi,0.15288704633712769
tool,chihuahua,0.15598538517951965
tool,hot chocolate,0.1328495889902115
tool,marmalade,0.1834084689617157
tool,margarita,0.1396060585975647
tool,frame,0.5736256837844849
tool,remote control,0.5416796207427979
tool,aloe,0.165429949760437
tool,bow,0.11604240536689758
tool,camera,0.5796473026275635
tool,cheesecake,0.1717602163553238
tool,loveseat,0.1859855055809021
tool,calculator,0.5260705947875977
tool,box,0.6548277735710144
tool,bookshelf,0.5197784900665283
tool,container,0.6583138704299927
tool,recorder,0.5247111916542053
tool,marijuana,0.18742132186889648
tool,dumpster,0.5157182812690735
tool,album,0.6365928649902344
tool,baklava,0.17014531791210175
tool,bottle,0.5465632677078247
tool,chessboard,0.49999451637268066
tool,plant,0.5401291251182556
tool,train set,0.5552295446395874
tool,taffy,0.19201001524925232
tool,gum,0.18783444166183472
tool,train,0.5024777054786682
tool,keyboard,0.5768119692802429
tool,caviar,0.14978621900081635
tool,clothes,0.5132195949554443
tool,bongo,0.19003716111183167
tool,toast,0.5233489274978638
tool,creme brulee,0.18509441614151
tool,hourglass,0.552199125289917
tool,clipboard,0.5562769174575806
tool,folder,0.5711383819580078
tool,barrel,0.5438933372497559
tool,ketchup,0.18881532549858093
tool,chickpea,0.12704935669898987
tool,hopscotch,0.16941869258880615
tool,wheat,0.19017831981182098
tool,spacesuit,0.5390585660934448
tool,ottoman,0.16326019167900085
tool,pantyhose,0.16343581676483154
tool,costume,0.509117841720581
tool,engine,0.7034691572189331
tool,okra,0.18361586332321167
tool,hearing aid,0.18492504954338074
tool,bracelet,0.5015181303024292
tool,dalmatian,0.18837061524391174
tool,dandelion,0.19202008843421936
tool,zucchini,0.18836450576782227
tool,beer,0.18727973103523254
tool,rattle,0.19292668998241425
tool,tortellini,0.14180925488471985
tool,lip balm,0.1740429401397705
tool,game,0.5424945950508118
tool,backpack,0.5046564340591431
tool,flan,0.14550863206386566
tool,ashtray,0.1801113784313202
tool,bulldozer,0.17372488975524902
garden tool,water bottle,0.6373051404953003
garden tool,panda,0.11373970657587051
garden tool,swimming pool,0.6885188221931458
garden tool,hot tub,0.6570794582366943
garden tool,coffee bean,0.6465557813644409
garden tool,pepper mill,0.6760983467102051
garden tool,bottle opener,0.64349365234375
garden tool,shower cap,0.7053879499435425
garden tool,router,0.1255326122045517
garden tool,ham,0.12365098297595978
garden tool,guacamole,0.14267610013484955
garden tool,string cheese,0.0863366574048996
garden tool,roll,0.13352042436599731
garden tool,spam,0.13180267810821533
garden tool,wine bottle,0.647991955280304
garden tool,coffee table,0.660075306892395
garden tool,muff,0.12377618253231049
musical instrument,music box,0.6997714042663574
musical instrument,string cheese,0.10718984156847
musical instrument,jewelry,0.5568335056304932
musical instrument,pizza,0.135193333029747
musical instrument,headdress,0.5969067811965942
musical instrument,pepper mill,0.5607858300209045
musical instrument,spam,0.12360589951276779
musical instrument,router,0.12269754707813263
musical instrument,rubber band,0.568891167640686
musical instrument,rocking chair,0.5731419324874878
musical instrument,playing card,0.6082704067230225
musical instrument,flask,0.11829835921525955
musical instrument,ham,0.09347725659608841
musical instrument,electric chair,0.5985971689224243
musical instrument,flan,0.1059323400259018
musical instrument,broccoli,0.1303134560585022
musical instrument,hammer,0.13063687086105347
musical instrument,swimming pool,0.5961753129959106
musical instrument,golf cart,0.5544495582580566
musical instrument,shower cap,0.5687816143035889
musical instrument,guacamole,0.10975012928247452
musical instrument,plaster cast,0.5715191960334778
musical instrument,wine cooler,0.5587030649185181
musical instrument,panda,0.089975506067276
musical instrument,kiwi,0.12450346350669861
musical instrument,coffee table,0.5748655796051025
musical instrument,muff,0.11490985751152039
musical instrument,kale,0.1191117987036705
musical instrument,hot tub,0.5591891407966614
musical instrument,pocket watch,0.5590364336967468
musical instrument,wine bottle,0.5749558806419373
musical instrument,papaya,0.12630398571491241
musical instrument,can,0.1284291297197342
clothing,broccoli,0.2805269956588745
clothing,flan,0.25525137782096863
clothing,blower,0.5389395952224731
clothing,pillbox,0.521863579750061
clothing,rearview mirror,0.525438666343689
clothing,stretcher,0.550717830657959
clothing,birdbath,0.5166531801223755
clothing,smoothie,0.5688043832778931
clothing,octopus,0.29452747106552124
clothing,spam,0.28674861788749695
clothing,barrette,0.5251240730285645
clothing,organ,0.3097991347312927
clothing,roll,0.3129870593547821
clothing,breadbox,0.5832933783531189
clothing,hovercraft,0.549552321434021
clothing,can,0.3062938153743744
clothing,ottoman,0.2999612092971802
clothing,bottle opener,0.5509435534477234
clothing,milk,0.30970144271850586
clothing,grapefruit,0.31270068883895874
clothing,whiteboard,0.5589187145233154
clothing,rocking horse,0.5168424844741821
clothing,hook,0.30778032541275024
clothing,sauerkraut,0.2788395881652832
clothing,bandage,0.5229336023330688
clothing,curling iron,0.5208256244659424
clothing,urn,0.2731465697288513
clothing,walker,0.5267922878265381
clothing,poker,0.2839522361755371
clothing,food processor,0.5380728244781494
clothing,bed,0.29064494371414185
clothing,tiramisu,0.2958500385284424
clothing,papaya,0.2622974216938019
clothing,margarita,0.3131714463233948
clothing,pan,0.29423338174819946
clothing,weather vane,0.5086614489555359
clothing,drink,0.5283195972442627
