concept,hypernyms,is_anchor_hypernym,sense
home decor,decoration,True,interior_decoration.n.01
decoration,,True,decoration.n.01
birdbath,"home decor, container",False,birdbath.n.01
insect,animal,True,insect.n.01
animal,organism,True,animal.n.01
fly,"insect, animal",False,fly.n.01
fruit,"produce, fruit, food",True,edible_fruit.n.01
produce,,True,produce.n.01
banana,"fruit, food",False,banana.n.01
plant,"plant, organism",True,plant.n.02
organism,,True,organism.n.01
leek,"vegetable, plant, food",False,leek.n.01
skunk,"mammal, animal",False,rotter.n.01
toiletry,utilities,True,toiletry.n.01
utilities,,True,-
razor,"tool, toiletry",False,razor.n.01
food,substance,True,food.n.01
substance,,True,substance.n.08
quesadilla,food,False,quesadilla.n.01
vehicle,transportation,True,vehicle.n.01
transportation,,True,transport.n.01
school bus,vehicle,False,
mammal,vertebrate,True,mammal.n.01
vertebrate,,True,vertebrate.n.01
porcupine,"mammal, animal",False,porcupine.n.01
pear,"fruit, food",False,pear.n.01
toothpaste,toiletry,False,toothpaste.n.01
outerwear,clothing,True,outerwear.n.01
clothing,covering,True,clothing.n.01
scarf,"outerwear, clothing, accessory",False,scarf.n.01
tool,"tool, instrument",True,tool.n.01
instrument,,True,instrument.n.01
stamp,tool,False,cast.n.03
melon,"fruit, food",False,melon.n.01
women's clothing,clothing,True,womens_clothing.n.00
pantsuit,"women's clothing, clothing",False,pants_suit.n.01
blowtorch,"weapon, tool",False,blowtorch.n.01
apron,"protective clothing, outerwear, clothing",False,apron.n.01
electronic device,device,True,electronic_device.n.01
device,,True,device.n.01
radio,electronic device,False,radio.n.01
garlic,"vegetable, food",False,garlic.n.01
sweeper,tool,False,sweeper.n.01
mulberry,"fruit, food",False,mulberry.n.01
school supply,equipment,True,school_supply.n.00
equipment,,True,equipment.n.01
paperclip,"school supply, office supply, fastener",False,paper_clip.n.01
candy,"sweet, food, candy",True,candy.n.01
sweet,,True,sweet.n.03
weapon,instrument,True,weapon.n.01
dart,weapon,False,dart.n.01
camcorder,electronic device,False,camcorder.n.01
furniture,decoration,True,furniture.n.01
footrest,furniture,False,footstool.n.01
humvee,vehicle,False,humvee.n.01
bonsai,"plant, home decor",False,bonsai.n.01
fern,plant,False,fern.n.01
toy,"toy, artifact",True,toy.n.01
artifact,,True,artifact.n.01
boomerang,"weapon, toy",False,boomerang.n.01
trident,"weapon, tool",False,trident.n.01
scooter,"vehicle, toy",False,water_scooter.n.01
cream cheese,"food, condiment, breakfast",False,
highlighter,"school supply, office supply",False,highlighter.n.01
container,"storage, container",True,container.n.01
storage,,True,storage
tank,"weapon, tool, container",False,tank.n.01
sawhorse,tool,False,sawhorse.n.01
soy sauce,"food, condiment",False,
cabinet,"furniture, container",False,cabinet.n.01
crystal ball,home decor,False,
hedgehog,"mammal, animal",False,porcupine.n.01
licorice,"food, candy",False,licorice.n.01
space shuttle,vehicle,False,
stilt,toy,False,pile.n.06
stingray,"sea animal, animal",False,stingray.n.01
mole,"mammal, animal",False,gram_molecule.n.01
wine bottle,container,False,
dresser,"furniture, container",False,chest_of_drawers.n.01
aquarium,"home decor, container",False,aquarium.n.01
seafood,"seafood, food",True,seafood.n.01
fish,"seafood, sea animal, food, animal",False,fish.n.01
kitchen tool,tool,True,kitchen_utensil.n.01
grater,"tool, kitchen tool",False,grater.n.01
musical instrument,device,True,musical_instrument.n.01
flute,musical instrument,False,flute.n.01
cuckoo clock,home decor,False,
tumbleweed,plant,False,tumbleweed.n.01
covering,,True,covering.n.02
bulletproof vest,"protective clothing, clothing",False,
breakfast,"food, breakfast",True,breakfast.n.00
pastry,"food, dessert, breakfast",False,pastry.n.01
air pump,tool,False,
headwear,clothing,True,headgear.n.01
bonnet,"headwear, clothing, accessory",False,bonnet.n.01
mushroom,food,False,mushroom.n.01
medical equipment,instrument,True,medical_instrument.n.01
brace,medical equipment,False,brace.n.01
crayon,"toy, school supply",False,crayon.n.01
accessory,clothing,True,accessory.n.01
bow,"weapon, fastener, clothing, accessory",False,bow.n.01
chain,"tool, fastener",False,chain.n.01
chainsaw,"weapon, tool, garden tool, electronic device",False,chain_saw.n.01
bamboo,plant,False,bamboo.n.01
headscarf,"women's clothing, headwear, clothing",False,headscarf.n.01
mango,"fruit, food",False,mango.n.01
condiment,food product,True,condiment.n.01
food product,,True,foodstuff.n.02
butter,"food, condiment",False,butter.n.01
police car,vehicle,False,
vial,"medical equipment, container",False,phial.n.01
orchid,plant,False,orchid.n.01
vegetable,"vegetable, produce, food",True,vegetable.n.01
jalapeno,"vegetable, food",False,cayenne.n.01
rhinoceros,"mammal, animal",False,rhinoceros.n.01
livestock,mammal,True,livestock.n.01
duck,"livestock, bird, animal",False,duck.n.01
jewelry,"jewelry, decoration",True,jewelry.n.01
croissant,"food, breakfast",False,crescent_roll.n.01
waffle,"food, breakfast",False,waffle.n.01
kitchen equipment,home appliance,True,kitchen_appliance.n.01
home appliance,,True,home_appliance.n.01
coffeemaker,"kitchen equipment, electronic device",False,
footwear,covering,True,footwear.n.01
rollerblade,footwear,False,rollerblade.n.01
shirt,clothing,False,shirt.n.01
bell pepper,"vegetable, food",False,
pocket watch,jewelry,False,
cow,"mammal, livestock, animal",False,cow.n.01
chive,"vegetable, plant, food",False,chives.n.01
knife,"weapon, tool, kitchen tool",False,knife.n.01
cornbread,food,False,cornbread.n.01
duffel bag,container,False,
plaster cast,medical equipment,False,
bottle opener,"tool, kitchen tool",False,
vise,tool,False,vise.n.01
cloak,"outerwear, clothing",False,cloak.n.01
fastener,connector,True,fastener.n.01
connector,,True,connector.n.01
velcro,fastener,False,velcro.n.01
beaver,"mammal, animal",False,beaver.n.01
shelf,furniture,False,shelf.n.01
curling iron,"tool, toiletry, electronic device",False,
headband,"headwear, clothing, accessory",False,headband.n.01
cat,"mammal, animal",False,cat.n.01
office supply,equipment,True,office_supply.n.00
pen,"tool, school supply, office supply",False,pen.n.01
yogurt,"food, breakfast",False,yogurt.n.01
whisk,kitchen tool,False,whisk.n.01
shrimp,"seafood, sea animal, food, animal",False,runt.n.01
spark plug,"tool, auto part",False,
koala,"mammal, animal",False,koala.n.01
maggot,animal,False,maggot.n.01
dumpster,container,False,dumpster.n.01
aloe,plant,False,aloe.n.01
clover,plant,False,clover.n.01
backscratcher,tool,False,backscratcher.n.01
eggplant,"vegetable, food",False,eggplant.n.01
drink,"food, drink",True,beverage.n.01
beer,drink,False,beer.n.01
padlock,"tool, fastener",False,padlock.n.01
basil,"plant, food",False,basil.n.01
tupperware,container,False,
scrambled egg,"food, breakfast",False,
poker,tool,False,poker.n.01
water vehicle,vehicle,True,vessel.n.02
sailboat,"water vehicle, vehicle",False,sailboat.n.01
lemonade,drink,False,lemonade.n.01
briefcase,container,False,briefcase.n.01
strainer,"tool, kitchen tool",False,strainer.n.01
taxi,vehicle,False,cab.n.03
spareribs,food,False,barbecued_spareribs.n.01
hat,"headwear, clothing, accessory",False,hat.n.01
groundhog,"mammal, animal",False,groundhog.n.01
auto part,component,True,auto_part.n.01
component,,True,component.n.01
handbrake,auto part,False,
first-aid kit,medical equipment,False,
grass,plant,False,grass.n.01
crayfish,"seafood, food, animal",False,spiny_lobster.n.01
laptop,electronic device,False,laptop.n.01
hot-water bottle,container,False,
lampshade,home decor,False,lampshade.n.01
notepad,"school supply, office supply",False,notepad.n.01
clam,"seafood, sea animal, food, animal",False,clam.n.01
sunroof,auto part,False,sunroof.n.01
bee,"insect, animal",False,bee.n.01
moccasin,"footwear, clothing",False,moccasin.n.01
poinsettia,plant,False,poinsettia.n.01
otter,"mammal, animal",False,otter.n.01
whipped cream,"food, dessert",False,
deer,"mammal, animal",False,deer.n.01
protective clothing,clothing,True,protective_covering.n.01
kneepad,protective clothing,False,
tuba,musical instrument,False,bass_horn.n.01
onion,"vegetable, food",False,onion.n.01
plum,"fruit, food",False,plum.n.01
cereal,"food, breakfast",False,cereal.n.01
throne,furniture,False,throne.n.01
freezer,"kitchen equipment, electronic device",False,deep-freeze.n.01
gingerbread man,food,False,
marker,"tool, school supply",False,marker.n.01
kimono,"women's clothing, clothing",False,kimono.n.01
maple syrup,"food, condiment, breakfast",False,
sauce,"food, condiment",False,sauce.n.01
celery,"vegetable, food",False,celery.n.01
ukulele,musical instrument,False,uke.n.01
gyroscope,toy,False,gyroscope.n.01
frame,home decor,False,frame.n.01
purse,"container, accessory",False,bag.n.04
marmalade,"food, condiment, breakfast",False,marmalade.n.01
